TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T500905,C100276,02/08/2000,,Jaipur,56892.89,2024-05-12,063939,4228.6
T505630,C100250,04/10/1964,Female,Ahmedabad,"12,840.30",11-Nov-2024,015258,687.14
T500402,C100725,1979-04-08,male,Ahmedabad,"104,953.20",2024-03-26,084008,307.25
T505864,C100256,1987-03-07,female,KOLKATA,"13,973.65",2024-04-25,191258,558.78
T505465,C100231,13-01-91,female,DELHI,66484.0,13-Oct-2024,052416,2230.16
T504048,C100603,12/05/2000,M,PUNE,"3,993.34",18/03/2024,050459,5392.98
T501434,C100418,1960-01-14,,HYDERABAD,,2024-08-19,160714,16057.58
T505297,C100578,1972-02-22,Male,Hyderabad,"Rs. 68,047.49",16-May-2024,071805,249.47
T501814,C100785,2000-01-02,male,CHENNAI,102157.68,2024-08-21,160634,1590.77
T501113,C100504,1999-12-20,M,Jaipur,97634.59,19/12/2024,110107,6400.14
T500510,C100470,05-02-97,F,NAGPUR,155474.78,2024-11-03,093859,20216.49
T502946,C100026,1980-06-13,f,Bangalore,"42,425.02",05/06/2024,213523,4603.83
T504882,C100651,02/01/1989,female,Chennai,"79,050.49",25-Nov-2024,022251,995204.0000000001
T504508,C100733,2001-05-03,f,BANGALORE,"Rs. 244,077.09",2024-08-02,120512,3491.8
T500889,C100598,1995-02-20,F,Bengaluru,"Rs. 138,205.32",04-Apr-2024,015401,INR 503.32
T502762,C100601,26/01/1967,m,Bengaluru,5370.73,2024-07-12,084225,4936.64
T505238,C100581,10/01/1991,M,Bengaluru,"Rs. 13,752.63",12/06/2024,045431,718.22
T501010,C100590,1974-03-06,male,HYDERABAD,26712.59,15/01/2024,064235,805.03
T505076,C100465,1975-06-04,f,KOLKATA,,2024-01-12,200052,239.02
T504266,C100275,04/05/1965,female,BANGALORE,"175,954.66",22/09/2024,171549,2426.98
T503663,C100731,1992-02-17,M,HYDERABAD,,21/08/2024,135716,3334.04
T504908,C100237,10-10-56,Male,PUNE,,07/09/2024,212109,"INR 5,610.80"
T502246,C100183,17/11/1989,f,Pune,17926.98,29/05/2024,025643,1052.84
T502199,C100065,18/02/2001,M,Delhi,55990.05,2024-03-14,122620,"INR 4,788.81"
T502839,C100465,1975-06-04,f,KOLKATA,,02/08/2024,154107,346.15
T500912,C100493,0000-00-00,F,AHMEDABAD,"Rs. 102,129.94",03/10/2024,052018,"INR 1,023,117.00"
T505777,C100462,18/07/1975,M,,8910.73,2024-04-09,180818,2235.67
T505468,C100705,03/12/1964,f,Bengaluru,"92,850.20",13-Jul-2024,121129,488.49
T505244,C100385,04-09-86,female,PUNE,31830.7,06-Jul-2024,081053,6378.38
T502483,C100781,07-12-64,f,LUCKNOW,,2024-05-06,072119,1506.76
T500305,C100539,22-07-01,f,Bengaluru,"34,098.88",18-Apr-2024,064441,408.4
T505529,C100753,05/12/1958,Male,Ahmedabad,,19/11/2024,114349,573.97
T503269,C100748,05/07/1989,male,mumbai ,"Rs. 63,573.89",2024-12-20,093629,-9776.02
T504875,C100028,26/05/1973,,HYDERABAD,,24/03/2024,040837,20447.87
T500788,C100517,2001-06-26,male,JAIPUR,"53,788.28",2024-03-03,153207,12709.33
T502565,C100057,21/12/1998,Male,Hyderabad,"108,663.77",2024-11-11,154526,"INR 2,627.76"
T502124,C100630,10-04-59,M,AHMEDABAD,,2024-04-23,181823,102.04
T503543,C100616,12-12-98,M,LUCKNOW,68502.33,24-Jun-2024,105739,1009.9
T504130,C100346,22/08/1993,M,PUNE,"134,207.78",2024-12-09,115327,2534.99
T500244,C100237,10-10-56,Male,PUNE,,19/09/2024,101823,6544.43
T503995,C100225,09/10/1991,m,Chennai,"181,650.06",19-Jul-2024,112905,2040.37
T502268,C100556,0000-00-00,f,HYDERABAD,"Rs. 92,723.33",2024-10-06,215723,1963.0
T504662,C100417,23-03-93,male,Mumbai,1928.25,14-Jan-2024,223839,699.88
T503629,C100599,1960-07-23,m,  Surat,"8,719.83",2024-03-29,184933,318.02
T503700,C100541,13-01-74,male,Ahmedabad,"186,265.55",28/03/2024,090535,333.97
T500149,C100094,20/03/1981,f,Bangalore,50521.45,2024-04-09,150624,"INR 6,161.36"
T500840,C100463,18/05/1963,m,NAGPUR,11964.39,07-Nov-2024,110918,2541.19
T504645,C100057,21/12/1998,Male,Hyderabad,"108,663.77",2024-03-15,012846,-7370.64
T504989,C100306,23/04/1967,male,PUNE,63186.77,18-Jun-2024,094124,-2057.12
T503759,C100302,1974-07-11,f,Pune,"45,783.91",2024-03-21,172758,3618.87
T504246,C100096,20/08/1961,M,LUCKNOW,"76,980.73",2024-01-08,051300,616.77
T505694,C100473,03-04-82,female,Bengaluru,,24-Oct-2024,161409,2073.8
T505588,C100398,14-03-94,male,LUCKNOW,"Rs. 16,335.93",31-Jan-2024,122809,INR 689.30
T501031,C100036,04/08/1957,,LUCKNOW,119884.19,02/01/2024,214427,-509.62
T501181,C100768,1991-10-16,female,DELHI,"25,918.41",15/11/2024,192017,1659.63
T500825,C100140,1964-06-15,,KOLKATA,699519.01,2024-08-21,144427,1121.17
T501125,C100546,20/05/1993,male,DELHI,"Rs. 76,684.14",2024-03-25,182532,-1936.35
T501757,C100510,2000-03-08,F,Ahmedabad,"235,563.00",16-Nov-2024,233420,
T500275,C100140,1964-06-15,,KOLKATA,699519.01,28/04/2024,144910,5707.55
T504801,C100234,15-03-98,female,Chennai,59188.47,2024-12-14,150824,1983.19
T502247,C100187,1/1/1800,m,Bengaluru,2316.41,2024-03-13,074846,"INR 1,767.30"
T500013,C100569,06/08/1967,,KOLKATA,,22/03/2024,004537,358.78
T504823,C100729,18-06-74,M,LUCKNOW,"264,299.97",10/09/2024,183136,3074.52
T504533,C100224,1990-02-18,M,  Surat,"29,503.15",21/09/2024,042849,381.77
T500831,C100192,1970-06-27,F,Chennai,"Rs. 37,732.31",2024-01-08,201208,1675.2
T502655,C100151,1955-06-05,Male,Kolkata,"Rs. 83,391.84",09-Nov-2024,022745,1359.59
T500738,C100179,18-09-93,female,BANGALORE,"4,962.98",03-May-2024,184830,423.46
T505126,C100532,2004-12-08,M,Ahmedabad,,28-May-2024,045553,3987.31
T503313,C100611,08-02-56,male,Bangalore,,19/10/2024,141555,7607.45
T505233,C100183,17/11/1989,f,Pune,17926.98,29/04/2024,051339,-56.3
T505567,C100611,08-02-56,male,Bangalore,,02-Jan-2024,104806,6555.72
T505327,C100108,1974-12-26,M,Jaipur,"53,397.38",2024-06-26,064431,1343.39
T500398,C100585,20-01-65,F,CHENNAI,"Rs. 51,724.58",06-May-2024,072702,1165.37
T502836,C100378,06-11-03,m,CHENNAI,,20-Dec-2024,012138,"INR 2,542.31"
T502712,C100062,16/02/1976,Male,Mumbai,6698.94,25-Aug-2024,212131,INR 389.07
T501407,C100079,20-07-04,M,Delhi,"Rs. 80,811.92",31-Mar-2024,224406,4849.68
T503286,C100525,1969-10-05,F,CHENNAI,"212,533.64",2024-08-23,121149,2428.49
T503679,C100748,05/07/1989,male,mumbai ,"Rs. 63,573.89",18-Nov-2024,030437,9671.96
T503215,C100237,10-10-56,Male,PUNE,,2024-11-12,221418,"INR 5,121.56"
T503618,C100088,04-01-74,f,HYDERABAD,"1,631.44",29/08/2024,235051,357.15
T504915,C100408,1983-01-10,m,Mumbai,30500.46,27-Aug-2024,083327,7320.09
T504442,C100501,02-01-74,f,DELHI,"98,637.64",2024-05-29,193856,863.25
T503321,C100377,07/07/1965,m,Bangalore,31307.17,06-Apr-2024,115519,6713.71
T503009,C100354,1965-09-03,Male,Delhi,,13/02/2024,040931,1709.85
T504561,C100636,07/07/1969,female,  Surat,"Rs. 52,253.95",11/05/2024,221759,4438.17
T501915,C100419,14-06-59,M,DELHI,26055.1,2024-07-05,140222,
T505309,C100541,13-01-74,male,Ahmedabad,"186,265.55",28-Dec-2024,170150,"INR 1,685.19"
T501485,C100736,1994-08-24,m,Mumbai,21365.93,03/04/2024,034335,"INR 1,183.81"
T501095,C100240,24/12/2003,M,mumbai ,"58,083.30",2024-02-26,015819,1794.77
T505615,C100479,22/10/1980,f,Kolkata,"Rs. 98,501.77",2024-09-24,183744,10298.84
T503908,C100310,23-08-84,male,HYDERABAD,"323,760.11",23/03/2024,050731,5996.95
T502881,C100791,19/10/1986,Female,Kolkata,91747.28,16/12/2024,230458,10767.2
T501428,C100509,1977-09-18,m,BANGALORE,26256.74,17/02/2024,043840,4252.72
T505487,C100130,07/02/1977,female,PUNE,"Rs. 7,572.86",01-Oct-2024,123501,1919.88
T503273,C100333,18-03-86,F,LUCKNOW,,2024-12-19,194604,
T502254,C100764,1966-06-14,M,Jaipur,62112.48,01/12/2024,092349,357.84
T505421,C100767,0000-00-00,F,,70068.58,07-Jul-2024,063203,4311.45
T502343,C100375,27-11-99,m,NAGPUR,"267,588.10",09-May-2024,224612,3654.61
T503166,C100350,06/05/1984,Male,Bengaluru,,2024-10-10,085457,-211.57
T500179,C100569,06/08/1967,,KOLKATA,,28/02/2024,021451,"INR 15,629.22"
T501355,C100057,21/12/1998,Male,Hyderabad,"108,663.77",2024-10-03,055141,14639.29
T501242,C100315,16/02/2001,,PUNE,"Rs. 10,487.31",2024-11-23,110544,128.66
T505516,C100045,0000-00-00,m,,"Rs. 50,615.70",15-Oct-2024,185630,3294.8
T502940,C100607,01-01-1900,m,KOLKATA,"11,588.68",24/10/2024,222816,2208.96
T502473,C100372,19/12/1983,Female,Mumbai,59995.96,2024-11-08,142616,781.76
T502077,C100553,01/07/2001,f,  Surat,"Rs. 71,513.73",12-Oct-2024,033107,1580.11
T505277,C100300,1990-09-07,Male,Chennai,,2024-10-05,030350,5243.73
T505548,C100733,2001-05-03,f,BANGALORE,"Rs. 244,077.09",04/09/2024,154822,11073.66
T503632,C100234,15-03-98,female,Chennai,59188.47,2024-01-14,214209,3233.05
T500083,C100213,26/03/1989,female,Kolkata,16101.96,2024-11-07,014654,3458.06
T503053,C100742,03-10-70,,mumbai ,"Rs. 4,402.93",2024-12-30,000806,INR 603.56
T500747,C100736,1994-08-24,m,Mumbai,21365.93,08/02/2024,214256,3802.17
T504344,C100702,0000-00-00,Female,Mumbai,2914.57,18/03/2024,094019,4547.61
T503769,C100294,1977-04-19,Female,HYDERABAD,,13-Jun-2024,015750,462.81
T503626,C100278,16/05/1989,male,BANGALORE,"113,740.31",21-Jul-2024,054556,3616.3
T503815,C100331,09-04-84,Male,Delhi,139917.52,26/01/2024,142436,4215.17
T504071,C100427,1973-05-14,f,Hyderabad,"Rs. 13,652.98",24-Oct-2024,213357,5745.53
T504409,C100103,14-02-91,,Delhi,,21-Sep-2024,172309,2058.86
T504954,C100302,1974-07-11,f,Pune,"45,783.91",2024-02-18,111742,"INR 2,203.71"
T502909,C100726,1966-04-07,m,KOLKATA,"Rs. 213,622.83",19/06/2024,172923,8781.22
T502651,C100436,06-10-60,F,Jaipur,"Rs. 93,354.27",26-May-2024,232600,2803.13
T501702,C100538,1970-11-08,Male,Ahmedabad,,29-Mar-2024,155953,4033.76
T505272,C100380,16-03-60,Female,DELHI,,12/04/2024,062214,2348.54
T501218,C100653,1965-06-07,f,AHMEDABAD,"Rs. 305,029.15",2024-02-14,091558,
T505439,C100331,09-04-84,Male,Delhi,139917.52,07/04/2024,084831,5385.05
T503977,C100484,1984-05-17,male,JAIPUR,12346.88,2024-05-04,073243,852.8
T500183,C100480,08-09-93,F,MUMBAI,"Rs. 37,940.98",17-Apr-2024,231948,3822.09
T500739,C100380,16-03-60,Female,DELHI,,04/07/2024,172931,2296.1
T503776,C100408,1983-01-10,m,Mumbai,30500.46,19/10/2024,085700,789.01
T502123,C100755,15/07/1975,f,Hyderabad,,18/01/2024,175225,608.59
T500056,C100785,2000-01-02,male,CHENNAI,102157.68,2024-03-17,231027,1658.8
T502432,C100199,12-08-83,male,Mumbai,71799.72,20/10/2024,230605,3055.68
T504027,C100726,1966-04-07,m,KOLKATA,"Rs. 213,622.83",22/03/2024,141707,5686.05
T502706,C100413,1975-06-17,Male,Chennai,,14-Dec-2024,042152,6218.91
T505101,C100041,22/06/1982,M,Bangalore,"22,606.16",2024-12-10,182555,6263.31
T500621,C100667,02-11-96,f,CHENNAI,20940.54,2024-03-27,065220,814.4
T502981,C100176,03/08/2003,M,JAIPUR,"26,967.93",2024-10-25,022544,573.69
T500860,C100225,09/10/1991,m,Chennai,"181,650.06",25/01/2024,080242,3708.76
T504413,C100400,17/12/1961,female,Pune,,2024-02-29,044819,511.85
T504778,C100134,1959-04-17,Male,HYDERABAD,12808.18,2024-02-10,235656,742.31
T504955,C100274,1973-07-26,Male,Kolkata,,06/08/2024,075912,
T503976,C100378,06-11-03,m,CHENNAI,,06-Jun-2024,022035,6439.23
T500000,C100052,13-07-60,Female,MUMBAI,"Rs. 54,071.44",2024-10-06,141526,3202.47
T504929,C100331,09-04-84,Male,Delhi,139917.52,12-Nov-2024,221413,9217.18
T500729,C100727,1978-08-19,female,JAIPUR,"Rs. 123,863.27",24-Dec-2024,121913,2568.8
T501683,C100278,16/05/1989,male,BANGALORE,"113,740.31",08/11/2024,171657,2941.91
T501696,C100275,04/05/1965,female,BANGALORE,"175,954.66",09/08/2024,200500,1597.91
T504114,C100174,1972-07-21,m,Bengaluru,97279.18,2024-10-30,131228,4087.36
T504077,C100309,1970-04-13,F,Mumbai,"Rs. 40,590.80",2024-12-24,060415,3973.12
T503915,C100352,1998-03-02,F,DELHI,,14/08/2024,000258,10754.44
T500658,C100406,09-01-59,Female,Chennai,"Rs. 70,730.83",26/10/2024,033724,7555.11
T505748,C100207,06/06/1974,m,DELHI,"Rs. 68,660.40",2024-01-18,071735,777.74
T501136,C100255,1959-12-07,female,PUNE,,2024-07-28,154442,1697.16
T504359,C100533,05/07/1959,,LUCKNOW,11799.16,25-Jan-2024,132059,890.45
T500676,C100716,11-02-72,F,,"Rs. 240,805.50",04/04/2024,221521,802.95
T500046,C100611,08-02-56,male,Bangalore,,12/04/2024,170405,3531.22
T503451,C100276,02/08/2000,,Jaipur,56892.89,22-Oct-2024,035519,4520.52
T501208,C100065,18/02/2001,M,Delhi,55990.05,16-May-2024,065536,3551.35
T501082,C100405,1959-09-13,m,NAGPUR,"Rs. 5,646.11",2024-12-23,185639,142.86
T502152,C100076,05-07-01,female,Ahmedabad,"Rs. 12,298.94",13/11/2024,095651,256.56
T501598,C100001,03/03/1976,,AHMEDABAD,"43,869.35",2024-12-02,154513,3363.69
T503205,C100432,23-09-63,f,Jaipur,,09-Aug-2024,160946,905.42
T503435,C100187,1/1/1800,m,Bengaluru,2316.41,29-Jul-2024,173000,INR 491.78
T501841,C100056,20/08/1973,M,CHENNAI,"Rs. 116,022.67",2024-08-15,133259,6736.22
T505921,C100759,08-06-83,f,,,02/10/2024,081039,3772.8
T502653,C100349,,Female,PUNE,"397,135.49",18/04/2024,145243,1670.29
T505344,C100665,08/12/1963,m,AHMEDABAD,100878.91,18-Dec-2024,111324,2871.36
T503809,C100651,02/01/1989,female,Chennai,"79,050.49",10/04/2024,022236,1413.17
T504609,C100042,1968-11-12,Male,mumbai ,41014.43,18-Sep-2024,081346,1461.15
T505287,C100302,1974-07-11,f,Pune,"45,783.91",2024-11-29,035642,2975.03
T504188,C100627,1961-08-10,female,Bangalore,24171.98,19-Feb-2024,165631,3212.85
T503577,C100651,02/01/1989,female,Chennai,"79,050.49",11-Jan-2024,100306,4140.21
