TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR),Age
T502956,C100753,1958-12-05,Male,Ahmedabad,47693.35,2024-03-18,100241,4522.05,65.6
T504492,C100689,2001-09-03,Female,Mumbai,5503.87,2024-11-01,222254,900.33,22.8
T502755,C100148,1980-03-12,Female,Chennai,52253.95,2024-02-22,14718,9299.1,44.3
T500756,C100010,1989-09-06,Female,Kolkata,239001.2,2024-03-19,52947,443.32,34.8
T504021,C100258,2000-05-26,Male,Unknown,16944.13,2024-09-01,54801,4749.57,24.1
T505627,C100376,1973-05-09,Unknown,Delhi,51367.71,2024-10-30,200355,2875.03,51.1
T500554,C100711,1956-06-23,Male,Hyderabad,10669.16,2024-02-09,122217,2003.58,68.0
T504113,C100499,,Male,Hyderabad,29516.2,2024-12-02,135551,4970.09,40.7
T501787,C100715,1966-07-01,Male,Ahmedabad,5484.47,2024-02-12,201839,907.67,58.0
T504353,C100190,1979-11-06,Male,Jaipur,39923.71,2024-08-12,151956,397.39,44.6
T504959,C100434,,Unknown,Hyderabad,17342.63,2024-06-07,114214,657.59,40.7
T500246,C100078,1963-07-19,Female,Chennai,51575.85,2024-02-09,123301,6010.07,61.0
T501406,C100466,,Male,Mumbai,11590.04,2024-12-21,220144,2830.65,40.7
T502530,C100074,,Female,Hyderabad,138675.48,2024-11-08,145138,3662.51,40.7
T501341,C100616,1998-12-12,Male,Lucknow,68502.33,2024-10-26,85129,2228.88,25.5
T505321,C100599,1960-07-23,Male,Surat,8719.83,2024-07-23,190358,60457.00000000001,63.9
T501441,C100715,1966-07-01,Male,Ahmedabad,5484.47,2024-05-14,32843,830.65,58.0
T503178,C100597,1972-09-02,Female,Pune,30467.88,2024-02-29,114300,329.94,51.8
T505356,C100318,1976-04-19,Unknown,Jaipur,171947.48,2024-02-29,43343,2057.3999999999996,48.2
T502271,C100404,,Male,Kolkata,17067.98,2024-12-13,155542,1026.73,40.7
T505659,C100566,1975-06-21,Female,Kolkata,12023.59,2024-12-03,233706,692.12,49.0
T503048,C100246,1992-12-11,Male,Delhi,459949.04,2024-01-23,195217,9654.85,31.6
T501790,C100368,1991-10-16,Female,Jaipur,144315.15,2024-10-07,71056,468.08,32.7
T500407,C100743,1968-05-24,Male,Unknown,121700.99,2024-02-10,152232,6906.92,56.1
T505513,C100600,1981-01-05,Female,Jaipur,67373.79,2024-03-02,121756,4396.75,43.5
T501989,C100573,1976-01-19,Male,Hyderabad,41943.84,2024-10-25,103637,2884.93,48.4
T502350,C100536,,Male,Jaipur,17092.33,2024-03-22,11122,2057.3999999999996,40.7
T503276,C100231,1991-01-13,Female,Delhi,66484.0,2024-06-24,115202,2758.51,33.5
T504503,C100790,1994-02-03,Female,Pune,108574.79,2024-04-27,72645,362.02,30.4
T500965,C100346,1993-08-22,Male,Pune,134207.78,2024-02-21,5435,2514.21,30.9
T505174,C100421,1985-01-17,Male,Chennai,123501.29,2024-05-04,231858,8897.87,39.4
T500008,C100470,1997-02-05,Female,Nagpur,155474.78,2024-09-19,93722,2916.2,27.4
T504655,C100558,1958-07-13,Female,Hyderabad,43904.78,2024-05-18,32813,3656.46,66.0
T501464,C100684,,Unknown,Ahmedabad,27777.54,2024-02-09,195559,372.64,40.7
T500187,C100450,1992-01-17,Female,Delhi,111417.27,2024-01-17,183747,4153.05,32.5
T500962,C100003,1961-03-26,Unknown,Kolkata,48217.77,2024-04-28,100123,1187.89,63.3
T503253,C100054,,Female,Ahmedabad,2705.17,2024-02-23,150117,582.58,40.7
T504689,C100434,,Unknown,Hyderabad,17342.63,2024-12-19,44349,173.91,40.7
T504460,C100133,1980-02-04,Female,Hyderabad,52253.95,2024-03-06,65856,497.55,44.4
T502718,C100041,1982-06-22,Male,Bangalore,22606.16,2024-06-19,84823,1111.28,42.0
T504005,C100693,1988-10-11,Female,Jaipur,247886.54,2024-09-17,155959,3960.54,35.7
T501845,C100240,2003-12-24,Male,Mumbai,58083.3,2024-06-18,81153,2248.41,20.5
T505639,C100547,,Female,Delhi,49530.12,2024-06-04,213545,4816.12,40.7
T504504,C100250,1964-10-04,Female,Ahmedabad,12840.3,2024-07-19,183054,1461.39,59.7
T500301,C100573,1976-01-19,Male,Hyderabad,41943.84,2024-09-06,221040,2747.94,48.4
T503935,C100370,2001-12-02,Female,Mumbai,25951.83,2024-08-21,160206,869.97,22.6
T500718,C100087,1996-06-22,Male,Mumbai,47693.35,2024-04-23,70916,1559.91,28.0
T504937,C100745,2002-11-16,Female,Ahmedabad,53359.6,2024-06-19,204652,327.15,21.6
T504816,C100413,1975-06-17,Male,Chennai,47693.35,2024-03-16,205208,3181.19,49.0
T503294,C100384,1998-07-13,Female,Kolkata,102416.63,2024-01-13,43108,6450.6,26.0
T502284,C100151,1955-05-06,Male,Kolkata,83391.84,2024-07-15,171711,15938.14,69.2
T505538,C100246,1992-12-11,Male,Delhi,459949.04,2024-03-04,163429,8710.31,31.6
T505345,C100258,2000-05-26,Male,Unknown,16944.13,2024-11-20,131928,4246.08,24.1
T504519,C100698,1986-10-03,Male,Mumbai,186379.37,2024-03-16,184713,4628.69,37.7
T505180,C100094,1981-03-20,Female,Bangalore,50521.45,2024-01-17,90129,1965.06,43.3
T501949,C100664,1987-01-09,Unknown,Mumbai,99475.96,2024-07-20,204329,1072.91,37.5
T505633,C100051,1976-02-21,Male,Pune,169367.84,2024-11-22,165648,21285.3,48.4
T500135,C100691,1998-08-13,Male,Pune,47693.35,2024-08-02,161938,6716.72,25.9
T503164,C100334,1992-05-05,Unknown,Kolkata,92365.78,2024-10-06,73139,2057.3999999999996,32.2
T500773,C100431,,Male,Surat,10914.09,2024-10-08,155420,1202.31,40.7
T503611,C100450,1992-01-17,Female,Delhi,111417.27,2024-11-05,214100,6297.37,32.5
T505279,C100729,,Male,Lucknow,264299.97,2024-08-05,152047,9581.15,40.7
T504253,C100752,,Female,Nagpur,15655.98,2024-01-07,182530,717.61,40.7
T502556,C100173,2003-09-18,Female,Pune,28296.42,2024-10-03,104333,2896.85,20.8
T505686,C100560,,Female,Jaipur,25797.87,2024-01-06,123654,4859.78,40.7
T504001,C100414,2002-02-15,Female,Pune,61143.12,2024-05-06,203803,875.12,22.4
T500121,C100724,1982-07-07,Unknown,Delhi,41634.26,2024-02-12,224856,2977.7,42.0
T502276,C100014,1995-01-22,Male,Lucknow,72097.18,2024-09-15,140730,10666.24,29.4
T503288,C100000,,Male,Delhi,17012.07,2024-10-12,35951,1756.39,40.7
T500563,C100177,,Unknown,Ahmedabad,208320.55,2024-03-20,105109,7382.68,40.7
T501483,C100767,,Female,Unknown,70068.58,2024-04-30,180135,3838.74,40.7
T502931,C100702,,Female,Mumbai,2914.57,2024-01-01,74749,3313.39,40.7
T501674,C100512,1986-08-19,Male,Unknown,88055.27,2024-02-24,165613,7527.96,37.9
T505920,C100343,1992-02-11,Female,Mumbai,60102.72,2024-06-20,224816,1633.86,32.4
T505585,C100429,1992-05-17,Female,Delhi,40293.13,2024-07-21,183339,5455.77,32.1
T502537,C100032,1977-10-16,Female,Kolkata,27810.1,2024-04-13,212448,1404.29,46.7
T503959,C100555,1993-03-27,Female,Ahmedabad,66420.28,2024-10-22,134831,3915.73,31.3
T505590,C100775,1994-07-25,Female,Surat,45130.4,2024-10-23,153352,3847.68,29.9
T504620,C100291,1975-08-14,Female,Pune,52253.95,2024-11-17,143710,2687.99,48.9
T501390,C100426,2001-12-20,Female,Kolkata,64167.81,2024-07-29,120123,1928.92,22.5
T504543,C100733,2001-03-05,Female,Bangalore,244077.09,2024-06-25,222625,743.53,23.3
T500797,C100716,,Female,Unknown,240805.5,2024-02-24,130350,17765.96,40.7
T504670,C100100,1984-03-05,Female,Bengaluru,21883.94,2024-07-26,165408,277.59,40.3
T501673,C100058,1976-02-26,Male,Surat,47693.35,2024-09-27,172356,161.63,48.3
T500276,C100408,1983-10-01,Male,Mumbai,30500.46,2024-09-28,25252,1246.39,40.7
T500979,C100013,1995-03-19,Unknown,Mumbai,11833.88,2024-02-22,151133,458.14,29.3
T505839,C100541,,Male,Ahmedabad,186265.55,2024-10-19,234744,1462.72,40.7
T505569,C100346,1993-08-22,Male,Pune,134207.78,2024-11-10,165819,16854.22,30.9
T504096,C100012,1993-10-12,Female,Unknown,50102.02,2024-10-23,192046,941.42,30.7
T502750,C100350,1984-05-06,Male,Bengaluru,47693.35,2024-01-06,180523,6776.42,40.2
T503181,C100300,1990-07-09,Male,Chennai,47693.35,2024-01-27,170500,2962.29,34.0
T505319,C100412,1985-10-02,Unknown,Mumbai,21748.09,2024-05-05,160044,133.9,38.7
T504337,C100219,1997-11-21,Female,Bengaluru,20875.12,2024-07-31,183344,2778.84,26.6
T501930,C100720,,Male,Lucknow,53994.49,2024-02-13,110045,4244.09,40.7
T500059,C100741,1966-04-24,Male,Kolkata,32097.85,2024-11-03,53016,5424.53,58.2
T500933,C100121,,Unknown,Delhi,51367.71,2024-10-08,200613,3128.56,40.7
T502373,C100769,1990-07-04,Female,Chennai,29909.5,2024-08-30,105252,285.61,34.0
T504473,C100246,1992-12-11,Male,Delhi,459949.04,2024-09-13,115434,760.55,31.6
T502498,C100343,1992-02-11,Female,Mumbai,60102.72,2024-03-26,82450,1032.54,32.4
T502968,C100350,1984-05-06,Male,Bengaluru,47693.35,2024-03-03,90114,8941.93,40.2
T500194,C100054,,Female,Ahmedabad,2705.17,2024-11-08,41513,816.75,40.7
T504569,C100477,1992-08-08,Male,Ahmedabad,72921.71,2024-05-13,25036,5997.62,31.9
T501463,C100504,1999-12-20,Male,Jaipur,97634.59,2024-10-24,60939,4645.16,24.5
T501542,C100279,1957-08-17,Male,Jaipur,45765.21,2024-07-29,85107,2987.12,66.9
T500905,C100276,2000-08-02,Unknown,Jaipur,56892.89,2024-12-05,63939,4228.6,23.9
T505630,C100250,1964-10-04,Female,Ahmedabad,12840.3,2024-11-11,15258,687.14,59.7
T500402,C100725,1979-08-04,Male,Ahmedabad,104953.2,2024-03-26,84008,307.25,44.9
T505864,C100256,1987-07-03,Female,Kolkata,13973.65,2024-04-25,191258,558.78,37.0
T505465,C100231,1991-01-13,Female,Delhi,66484.0,2024-10-13,52416,2230.16,33.5
T504048,C100603,2000-05-12,Male,Pune,3993.34,2024-03-18,50459,5392.98,24.1
T501434,C100418,1960-01-14,Unknown,Hyderabad,51367.71,2024-08-19,160714,16057.58,64.5
T505297,C100578,1972-02-22,Male,Hyderabad,68047.49,2024-05-16,71805,249.47,52.4
T501814,C100785,2000-02-01,Male,Chennai,102157.68,2024-08-21,160634,1590.77,24.4
T501113,C100504,1999-12-20,Male,Jaipur,97634.59,2024-12-19,110107,6400.14,24.5
T500510,C100470,1997-02-05,Female,Nagpur,155474.78,2024-03-11,93859,20216.49,27.4
T502946,C100026,1980-06-13,Female,Bangalore,42425.02,2024-06-05,213523,4603.83,44.0
T504882,C100651,1989-01-02,Female,Chennai,79050.49,2024-11-25,22251,272883.0199999997,35.5
T504508,C100733,2001-03-05,Female,Bangalore,244077.09,2024-02-08,120512,3491.8,23.3
T500889,C100598,1995-02-20,Female,Bengaluru,138205.32,2024-04-04,15401,503.32,29.4
T502762,C100601,1967-01-26,Male,Bengaluru,5370.73,2024-12-07,84225,4936.64,57.4
T505238,C100581,1991-01-10,Male,Bengaluru,13752.63,2024-06-12,45431,718.22,33.5
T501010,C100590,1974-06-03,Male,Hyderabad,26712.59,2024-01-15,64235,805.03,50.1
T505076,C100465,1975-04-06,Female,Kolkata,52253.95,2024-12-01,200052,239.02,49.2
T504266,C100275,1965-05-04,Female,Bangalore,175954.66,2024-09-22,171549,2426.98,59.2
T503663,C100731,1992-02-17,Male,Hyderabad,47693.35,2024-08-21,135716,3334.04,32.4
T504908,C100237,,Male,Pune,47693.35,2024-09-07,212109,5610.8,40.7
T502246,C100183,1989-11-17,Female,Pune,17926.98,2024-05-29,25643,1052.84,34.6
T502199,C100065,2001-02-18,Male,Delhi,55990.05,2024-03-14,122620,4788.81,23.4
T502839,C100465,1975-04-06,Female,Kolkata,52253.95,2024-08-02,154107,346.15,49.2
T500912,C100493,,Female,Ahmedabad,102129.94,2024-10-03,52018,272883.0199999997,40.7
T505777,C100462,1975-07-18,Male,Unknown,8910.73,2024-09-04,180818,2235.67,49.0
T505468,C100705,1964-12-03,Female,Bengaluru,92850.2,2024-07-13,121129,488.49,59.6
T505244,C100385,1986-09-04,Female,Pune,31830.7,2024-07-06,81053,6378.38,37.8
T502483,C100781,,Female,Lucknow,52253.95,2024-06-05,72119,1506.76,40.7
T500305,C100539,2001-07-22,Female,Bengaluru,34098.88,2024-04-18,64441,408.4,22.9
T505529,C100753,1958-12-05,Male,Ahmedabad,47693.35,2024-11-19,114349,573.97,65.6
T503269,C100748,1989-07-05,Male,Mumbai,63573.89,2024-12-20,93629,9776.02,35.0
T504875,C100028,1973-05-26,Unknown,Hyderabad,51367.71,2024-03-24,40837,20447.87,51.1
T500788,C100517,2001-06-26,Male,Jaipur,53788.28,2024-03-03,153207,12709.33,23.0
T502565,C100057,1998-12-21,Male,Hyderabad,108663.77,2024-11-11,154526,2627.76,25.5
T502124,C100630,,Male,Ahmedabad,47693.35,2024-04-23,181823,102.04,40.7
T503543,C100616,1998-12-12,Male,Lucknow,68502.33,2024-06-24,105739,1009.9,25.5
T504130,C100346,1993-08-22,Male,Pune,134207.78,2024-09-12,115327,2534.99,30.9
T500244,C100237,,Male,Pune,47693.35,2024-09-19,101823,6544.43,40.7
T503995,C100225,1991-10-09,Male,Chennai,181650.06,2024-07-19,112905,2040.37,32.7
T502268,C100556,,Female,Hyderabad,92723.33,2024-06-10,215723,1963.0,40.7
T504662,C100417,1993-03-23,Male,Mumbai,1928.25,2024-01-14,223839,699.88,31.3
T503629,C100599,1960-07-23,Male,Surat,8719.83,2024-03-29,184933,318.02,63.9
T503700,C100541,,Male,Ahmedabad,186265.55,2024-03-28,90535,333.97,40.7
T500149,C100094,1981-03-20,Female,Bangalore,50521.45,2024-09-04,150624,6161.36,43.3
T500840,C100463,1963-05-18,Male,Nagpur,11964.39,2024-11-07,110918,2541.19,61.1
T504645,C100057,1998-12-21,Male,Hyderabad,108663.77,2024-03-15,12846,7370.64,25.5
T504989,C100306,1967-04-23,Male,Pune,63186.77,2024-06-18,94124,2057.12,57.2
T503759,C100302,1974-11-07,Female,Pune,45783.91,2024-03-21,172758,3618.87,49.6
T504246,C100096,1961-08-20,Male,Lucknow,76980.73,2024-08-01,51300,616.77,62.9
T505694,C100473,1982-04-03,Female,Bengaluru,52253.95,2024-10-24,161409,2073.8,42.2
T505588,C100398,1994-03-14,Male,Lucknow,16335.93,2024-01-31,122809,689.3,30.3
T501031,C100036,1957-08-04,Unknown,Lucknow,119884.19,2024-01-02,214427,509.62,66.9
T501181,C100768,1991-10-16,Female,Delhi,25918.41,2024-11-15,192017,1659.63,32.7
T500825,C100140,1964-06-15,Unknown,Kolkata,699519.01,2024-08-21,144427,1121.17,60.0
T501125,C100546,1993-05-20,Male,Delhi,76684.14,2024-03-25,182532,1936.35,31.1
T501757,C100510,2000-08-03,Female,Ahmedabad,235563.0,2024-11-16,233420,2057.3999999999996,23.9
T500275,C100140,1964-06-15,Unknown,Kolkata,699519.01,2024-04-28,144910,5707.55,60.0
T504801,C100234,1998-03-15,Female,Chennai,59188.47,2024-12-14,150824,1983.19,26.3
T502247,C100187,,Male,Bengaluru,2316.41,2024-03-13,74846,1767.3,40.7
T500013,C100569,1967-08-06,Unknown,Kolkata,51367.71,2024-03-22,4537,358.78,56.9
T504823,C100729,,Male,Lucknow,264299.97,2024-09-10,183136,3074.52,40.7
T504533,C100224,1990-02-18,Male,Surat,29503.15,2024-09-21,42849,381.77,34.4
T500831,C100192,1970-06-27,Female,Chennai,37732.31,2024-08-01,201208,1675.2,54.0
T502655,C100151,1955-05-06,Male,Kolkata,83391.84,2024-11-09,22745,1359.59,69.2
T500738,C100179,1993-09-18,Female,Bangalore,4962.98,2024-05-03,184830,423.46,30.8
T505126,C100532,2004-08-12,Male,Ahmedabad,47693.35,2024-05-28,45553,3987.31,19.9
T503313,C100611,,Male,Bangalore,47693.35,2024-10-19,141555,7607.45,40.7
T505233,C100183,1989-11-17,Female,Pune,17926.98,2024-04-29,51339,56.3,34.6
T505567,C100611,,Male,Bangalore,47693.35,2024-01-02,104806,6555.72,40.7
T505327,C100108,1974-12-26,Male,Jaipur,53397.38,2024-06-26,64431,1343.39,49.5
T500398,C100585,,Female,Chennai,51724.58,2024-05-06,72702,1165.37,40.7
T502836,C100378,2003-11-06,Male,Chennai,47693.35,2024-12-20,12138,2542.31,20.6
T502712,C100062,1976-02-16,Male,Mumbai,6698.94,2024-08-25,212131,389.07,48.4
T501407,C100079,2004-07-20,Male,Delhi,80811.92,2024-03-31,224406,4849.68,19.9
T503286,C100525,1969-05-10,Female,Chennai,212533.64,2024-08-23,121149,2428.49,55.1
T503679,C100748,1989-07-05,Male,Mumbai,63573.89,2024-11-18,30437,9671.96,35.0
T503215,C100237,,Male,Pune,47693.35,2024-12-11,221418,5121.56,40.7
T503618,C100088,,Female,Hyderabad,1631.44,2024-08-29,235051,357.15,40.7
T504915,C100408,1983-10-01,Male,Mumbai,30500.46,2024-08-27,83327,7320.09,40.7
T504442,C100501,,Female,Delhi,98637.64,2024-05-29,193856,863.25,40.7
T503321,C100377,1965-07-07,Male,Bangalore,31307.17,2024-04-06,115519,6713.71,59.0
T503009,C100354,1965-03-09,Male,Delhi,47693.35,2024-02-13,40931,1709.85,59.3
T504561,C100636,1969-07-07,Female,Surat,52253.95,2024-05-11,221759,4438.17,55.0
T501915,C100419,,Male,Delhi,26055.1,2024-05-07,140222,2057.3999999999996,40.7
T505309,C100541,,Male,Ahmedabad,186265.55,2024-12-28,170150,1685.19,40.7
T501485,C100736,1994-08-24,Male,Mumbai,21365.93,2024-04-03,34335,1183.81,29.9
T501095,C100240,2003-12-24,Male,Mumbai,58083.3,2024-02-26,15819,1794.77,20.5
T505615,C100479,1980-10-22,Female,Kolkata,98501.77,2024-09-24,183744,10298.84,43.7
T503908,C100310,1984-08-23,Male,Hyderabad,323760.11,2024-03-23,50731,5996.95,39.9
T502881,C100791,1986-10-19,Female,Kolkata,91747.28,2024-12-16,230458,10767.2,37.7
T501428,C100509,1977-09-18,Male,Bangalore,26256.74,2024-02-17,43840,4252.72,46.8
T505487,C100130,1977-02-07,Female,Pune,7572.86,2024-10-01,123501,1919.88,47.4
T503273,C100333,1986-03-18,Female,Lucknow,52253.95,2024-12-19,194604,2057.3999999999996,38.3
T502254,C100764,1966-06-14,Male,Jaipur,62112.48,2024-12-01,92349,357.84,58.0
T505421,C100767,,Female,Unknown,70068.58,2024-07-07,63203,4311.45,40.7
T502343,C100375,1999-11-27,Male,Nagpur,267588.1,2024-05-09,224612,3654.61,24.6
T503166,C100350,1984-05-06,Male,Bengaluru,47693.35,2024-10-10,85457,211.57,40.2
T500179,C100569,1967-08-06,Unknown,Kolkata,51367.71,2024-02-28,21451,15629.22,56.9
T501355,C100057,1998-12-21,Male,Hyderabad,108663.77,2024-03-10,55141,14639.29,25.5
T501242,C100315,2001-02-16,Unknown,Pune,10487.31,2024-11-23,110544,128.66,23.4
T505516,C100045,,Male,Unknown,50615.7,2024-10-15,185630,3294.8,40.7
T502940,C100607,,Male,Kolkata,11588.68,2024-10-24,222816,2208.96,40.7
T502473,C100372,1983-12-19,Female,Mumbai,59995.96,2024-08-11,142616,781.76,40.5
T502077,C100553,2001-07-01,Female,Surat,71513.73,2024-10-12,33107,1580.11,23.0
T505277,C100300,1990-07-09,Male,Chennai,47693.35,2024-05-10,30350,5243.73,34.0
T505548,C100733,2001-03-05,Female,Bangalore,244077.09,2024-09-04,154822,11073.66,23.3
T503632,C100234,1998-03-15,Female,Chennai,59188.47,2024-01-14,214209,3233.05,26.3
T500083,C100213,1989-03-26,Female,Kolkata,16101.96,2024-07-11,14654,3458.06,35.3
T503053,C100742,,Unknown,Mumbai,4402.93,2024-12-30,806,603.56,40.7
T500747,C100736,1994-08-24,Male,Mumbai,21365.93,2024-02-08,214256,3802.17,29.9
T504344,C100702,,Female,Mumbai,2914.57,2024-03-18,94019,4547.61,40.7
T503769,C100294,1977-04-19,Female,Hyderabad,52253.95,2024-06-13,15750,462.81,47.2
T503626,C100278,1989-05-16,Male,Bangalore,113740.31,2024-07-21,54556,3616.3,35.1
T503815,C100331,1984-04-09,Male,Delhi,139917.52,2024-01-26,142436,4215.17,40.2
T504071,C100427,1973-05-14,Female,Hyderabad,13652.98,2024-10-24,213357,5745.53,51.1
T504409,C100103,1991-02-14,Unknown,Delhi,51367.71,2024-09-21,172309,2058.86,33.4
T504954,C100302,1974-11-07,Female,Pune,45783.91,2024-02-18,111742,2203.71,49.6
T502909,C100726,1966-07-04,Male,Kolkata,213622.83,2024-06-19,172923,8781.22,58.0
T502651,C100436,,Female,Jaipur,93354.27,2024-05-26,232600,2803.13,40.7
T501702,C100538,1970-08-11,Male,Ahmedabad,47693.35,2024-03-29,155953,4033.76,53.9
T505272,C100380,,Female,Delhi,52253.95,2024-04-12,62214,2348.54,40.7
T501218,C100653,1965-07-06,Female,Ahmedabad,305029.15,2024-02-14,91558,2057.3999999999996,59.0
T505439,C100331,1984-04-09,Male,Delhi,139917.52,2024-04-07,84831,5385.05,40.2
T503977,C100484,1984-05-17,Male,Jaipur,12346.88,2024-04-05,73243,852.8,40.1
T500183,C100480,1993-09-08,Female,Mumbai,37940.98,2024-04-17,231948,3822.09,30.8
T500739,C100380,,Female,Delhi,52253.95,2024-07-04,172931,2296.1,40.7
T503776,C100408,1983-10-01,Male,Mumbai,30500.46,2024-10-19,85700,789.01,40.7
T502123,C100755,1975-07-15,Female,Hyderabad,52253.95,2024-01-18,175225,608.59,49.0
T500056,C100785,2000-02-01,Male,Chennai,102157.68,2024-03-17,231027,1658.8,24.4
T502432,C100199,1983-08-12,Male,Mumbai,71799.72,2024-10-20,230605,3055.68,40.9
T504027,C100726,1966-07-04,Male,Kolkata,213622.83,2024-03-22,141707,5686.05,58.0
T502706,C100413,1975-06-17,Male,Chennai,47693.35,2024-12-14,42152,6218.91,49.0
T505101,C100041,1982-06-22,Male,Bangalore,22606.16,2024-10-12,182555,6263.31,42.0
T500621,C100667,1996-11-02,Female,Chennai,20940.54,2024-03-27,65220,814.4,27.7
T502981,C100176,2003-08-03,Male,Jaipur,26967.93,2024-10-25,22544,573.69,20.9
T500860,C100225,1991-10-09,Male,Chennai,181650.06,2024-01-25,80242,3708.76,32.7
T504413,C100400,1961-12-17,Female,Pune,52253.95,2024-02-29,44819,511.85,62.5
T504778,C100134,1959-04-17,Male,Hyderabad,12808.18,2024-10-02,235656,742.31,65.2
T504955,C100274,1973-07-26,Male,Kolkata,47693.35,2024-08-06,75912,2057.3999999999996,50.9
T503976,C100378,2003-11-06,Male,Chennai,47693.35,2024-06-06,22035,6439.23,20.6
T500000,C100052,,Female,Mumbai,54071.44,2024-06-10,141526,3202.47,40.7
T504929,C100331,1984-04-09,Male,Delhi,139917.52,2024-11-12,221413,9217.18,40.2
T500729,C100727,1978-08-19,Female,Jaipur,123863.27,2024-12-24,121913,2568.8,45.9
T501683,C100278,1989-05-16,Male,Bangalore,113740.31,2024-11-08,171657,2941.91,35.1
T501696,C100275,1965-05-04,Female,Bangalore,175954.66,2024-08-09,200500,1597.91,59.2
T504114,C100174,1972-07-21,Male,Bengaluru,97279.18,2024-10-30,131228,4087.36,51.9
T504077,C100309,1970-04-13,Female,Mumbai,40590.8,2024-12-24,60415,3973.12,54.2
T503915,C100352,1998-02-03,Female,Delhi,52253.95,2024-08-14,258,10754.44,26.4
T500658,C100406,,Female,Chennai,70730.83,2024-10-26,33724,7555.11,40.7
T505748,C100207,1974-06-06,Male,Delhi,68660.4,2024-01-18,71735,777.74,50.1
T501136,C100255,1959-07-12,Female,Pune,52253.95,2024-07-28,154442,1697.16,65.0
T504359,C100533,1959-07-05,Unknown,Lucknow,11799.16,2024-01-25,132059,890.45,65.0
T500676,C100716,,Female,Unknown,240805.5,2024-04-04,221521,802.95,40.7
T500046,C100611,,Male,Bangalore,47693.35,2024-04-12,170405,3531.22,40.7
T503451,C100276,2000-08-02,Unknown,Jaipur,56892.89,2024-10-22,35519,4520.52,23.9
T501208,C100065,2001-02-18,Male,Delhi,55990.05,2024-05-16,65536,3551.35,23.4
T501082,C100405,1959-09-13,Male,Nagpur,5646.11,2024-12-23,185639,142.86,64.8
T502152,C100076,2001-07-05,Female,Ahmedabad,12298.94,2024-11-13,95651,256.56,23.0
